"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
37152,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","java.lang.VerifyError:","2003-05-04 16:58:45"
104212,"AspectJ","Compiler","avasseur","RESOLVED","FIXED","static method call from subclass signature is wrong","2005-09-27 09:28:40"
225916,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","weaving is sensitive to order of input files","2008-04-21 11:22:37"
34858,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Weaver crash","2003-03-12 18:07:52"
341446,"AspectJ","Runtime","aspectj-inbox","RESOLVED","FIXED","java.lang.UnsupportedClassVersionError when running Java 1.5","2011-04-11 16:53:42"
258653,"AspectJ","Compiler","AJDT-inbox","RESOLVED","FIXED","crash weaving staticinitialization","2008-12-12 12:42:27"
226209,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","promotion of Array to a reference type causes these serious problems:","2008-04-11 12:20:07"
44215,"AspectJ","Compiler","aclement","RESOLVED","FIXED","Running out of memory when compiling.","2007-03-02 17:19:49"
36673,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","VerifyError in privileged aspect","2003-04-22 13:32:25"
36056,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Ajc 1.1 rc1 java.lang.VerifyError","2003-04-22 18:33:14"
43194,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","java.lang.VerifyError in generated code","2003-09-18 14:45:22"
32239,"AspectJ","Compiler","eh-ajdev","RESOLVED","FIXED","Dumps assembly code if Object[] used in args (BcelRenderer.java:152)","2003-03-11 01:10:49"
134471,"AspectJ","Compiler","aclement","RESOLVED","FIXED","adding whitespace to an aspect loses crosscutting","2012-04-03 14:13:08"
237962,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","[migration] Unexpected problem loading an aspect built with 1.5.4","2008-06-20 13:16:05"
176991,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","IllegalStateException thrown: Wrong number of type parameters supplied","2007-11-08 11:13:12"
33635,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Negation of if pointcut does not work","2003-03-05 16:48:19"
42993,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Language regression, or possible language improvement?","2003-09-12 12:55:32"
108101,"AspectJ","Compiler","aclement","RESOLVED","FIXED","bridge methods and binary weaving.","2005-11-17 15:21:47"
